state,state_fips,county,county_fips,d_specific_rent_control
Alaska,2,Yukon-Koyukuk Census Area,290,0
Arizona,4,Apache County,1,0
Arizona,4,Cochise County,3,0
Arizona,4,Coconino County,5,0
Arizona,4,Gila County,7,0
Arizona,4,Graham County,9,0
Arizona,4,Greenlee County,11,0
Arizona,4,La Paz County,12,0
Arizona,4,Maricopa County,13,0
Arizona,4,Mohave County,15,0
Arizona,4,Navajo County,17,0
Arizona,4,Pima County,19,0
Arizona,4,Pinal County,21,0
Arizona,4,Santa Cruz County,23,0
Arizona,4,Yavapai County,25,0
Arizona,4,Yuma County,27,0
Arkansas,5,Arkansas County,1,0
Arkansas,5,Ashley County,3,0
Arkansas,5,Baxter County,5,0
Arkansas,5,Benton County,7,0
Arkansas,5,Boone County,9,0
Arkansas,5,Bradley County,11,0
Arkansas,5,Calhoun County,13,0
Arkansas,5,Carroll County,15,0
Arkansas,5,Chicot County,17,0
Arkansas,5,Clark County,19,0
Arkansas,5,Clay County,21,0
Arkansas,5,Cleburne County,23,0
Arkansas,5,Cleveland County,25,0
Arkansas,5,Columbia County,27,0
Arkansas,5,Conway County,29,0
Arkansas,5,Craighead County,31,0
Arkansas,5,Crawford County,33,0
Arkansas,5,Crittenden County,35,0
Arkansas,5,Cross County,37,0
Arkansas,5,Dallas County,39,0
Arkansas,5,Desha County,41,0
Arkansas,5,Drew County,43,0
Arkansas,5,Faulkner County,45,0
Arkansas,5,Franklin County,47,0
Arkansas,5,Fulton County,49,0
Arkansas,5,Garland County,51,0
Arkansas,5,Grant County,53,0
Arkansas,5,Greene County,55,0
Arkansas,5,Hempstead County,57,0
Arkansas,5,Hot Spring County,59,0
Arkansas,5,Howard County,61,0
Arkansas,5,Independence County,63,0
Arkansas,5,Izard County,65,0
Arkansas,5,Jackson County,67,0
Arkansas,5,Jefferson County,69,0
Arkansas,5,Johnson County,71,0
Arkansas,5,Lafayette County,73,0
Arkansas,5,Lawrence County,75,0
Arkansas,5,Lee County,77,0
Arkansas,5,Lincoln County,79,0
Arkansas,5,Little River County,81,0
Arkansas,5,Logan County,83,0
Arkansas,5,Lonoke County,85,0
Arkansas,5,Madison County,87,0
Arkansas,5,Marion County,89,0
Arkansas,5,Miller County,91,0
Arkansas,5,Mississippi County,93,0
Arkansas,5,Monroe County,95,0
Arkansas,5,Montgomery County,97,0
Arkansas,5,Nevada County,99,0
Arkansas,5,Newton County,101,0
Arkansas,5,Ouachita County,103,0
Arkansas,5,Perry County,105,0
Arkansas,5,Phillips County,107,0
Arkansas,5,Pike County,109,0
Arkansas,5,Poinsett County,111,0
Arkansas,5,Polk County,113,0
Arkansas,5,Pope County,115,0
Arkansas,5,Prairie County,117,0
Arkansas,5,Pulaski County,119,0
Arkansas,5,Randolph County,121,0
Arkansas,5,St. Francis County,123,0
Arkansas,5,Saline County,125,0
Arkansas,5,Scott County,127,0
Arkansas,5,Searcy County,129,0
Arkansas,5,Sebastian County,131,0
Arkansas,5,Sevier County,133,0
Arkansas,5,Sharp County,135,0
Arkansas,5,Stone County,137,0
Arkansas,5,Union County,139,0
Arkansas,5,Van Buren County,141,0
Arkansas,5,Washington County,143,0
Arkansas,5,White County,145,0
Arkansas,5,Woodruff County,147,0
Arkansas,5,Yell County,149,0
California,6,Alameda County,1,1
California,6,Alpine County,3,1
California,6,Amador County,5,1
California,6,Butte County,7,1
California,6,Calaveras County,9,1
California,6,Colusa County,11,1
California,6,Contra Costa County,13,1
California,6,Del Norte County,15,1
California,6,El Dorado County,17,1
California,6,Fresno County,19,1
California,6,Glenn County,21,1
California,6,Humboldt County,23,1
California,6,Imperial County,25,1
California,6,Inyo County,27,1
California,6,Kern County,29,1
California,6,Kings County,31,1
California,6,Lake County,33,1
California,6,Lassen County,35,1
California,6,Los Angeles County,37,1
California,6,Madera County,39,1
California,6,Marin County,41,1
California,6,Mariposa County,43,1
California,6,Mendocino County,45,1
California,6,Merced County,47,1
California,6,Modoc County,49,1
California,6,Mono County,51,1
California,6,Monterey County,53,1
California,6,Napa County,55,1
California,6,Nevada County,57,1
California,6,Orange County,59,1
California,6,Placer County,61,1
California,6,Plumas County,63,1
California,6,Riverside County,65,1
California,6,Sacramento County,67,1
California,6,San Benito County,69,1
California,6,San Bernardino County,71,1
California,6,San Diego County,73,1
California,6,San Francisco County,75,1
California,6,San Joaquin County,77,1
California,6,San Luis Obispo County,79,1
California,6,San Mateo County,81,1
California,6,Santa Barbara County,83,1
California,6,Santa Clara County,85,1
California,6,Santa Cruz County,87,1
California,6,Shasta County,89,1
California,6,Sierra County,91,1
California,6,Siskiyou County,93,1
California,6,Solano County,95,1
California,6,Sonoma County,97,1
California,6,Stanislaus County,99,1
California,6,Sutter County,101,1
California,6,Tehama County,103,1
California,6,Trinity County,105,1
California,6,Tulare County,107,1
California,6,Tuolumne County,109,1
California,6,Ventura County,111,1
California,6,Yolo County,113,1
California,6,Yuba County,115,1
Colorado,8,Adams County,1,0
Colorado,8,Alamosa County,3,0
Colorado,8,Arapahoe County,5,0
Colorado,8,Archuleta County,7,0
Colorado,8,Baca County,9,0
Colorado,8,Bent County,11,0
Colorado,8,Boulder County,13,0
Colorado,8,Broomfield County,14,0
Colorado,8,Chaffee County,15,0
Colorado,8,Cheyenne County,17,0
Colorado,8,Clear Creek County,19,0
Colorado,8,Conejos County,21,0
Colorado,8,Costilla County,23,0
Colorado,8,Crowley County,25,0
Colorado,8,Custer County,27,0
Colorado,8,Delta County,29,0
Colorado,8,Denver County,31,0
Colorado,8,Dolores County,33,0
Colorado,8,Douglas County,35,0
Colorado,8,Eagle County,37,0
Colorado,8,Elbert County,39,0
Colorado,8,El Paso County,41,0
Colorado,8,Fremont County,43,0
Colorado,8,Garfield County,45,0
Colorado,8,Gilpin County,47,0
Colorado,8,Grand County,49,0
Colorado,8,Gunnison County,51,0
Colorado,8,Hinsdale County,53,0
Colorado,8,Huerfano County,55,0
Colorado,8,Jackson County,57,0
Colorado,8,Jefferson County,59,0
Colorado,8,Kiowa County,61,0
Colorado,8,Kit Carson County,63,0
Colorado,8,Lake County,65,0
Colorado,8,La Plata County,67,0
Colorado,8,Larimer County,69,0
Colorado,8,Las Animas County,71,0
Colorado,8,Lincoln County,73,0
Colorado,8,Logan County,75,0
Colorado,8,Mesa County,77,0
Colorado,8,Mineral County,79,0
Colorado,8,Moffat County,81,0
Colorado,8,Montezuma County,83,0
Colorado,8,Montrose County,85,0
Colorado,8,Morgan County,87,0
Colorado,8,Otero County,89,0
Colorado,8,Ouray County,91,0
Colorado,8,Park County,93,0
Colorado,8,Phillips County,95,0
Colorado,8,Pitkin County,97,0
Colorado,8,Prowers County,99,0
Colorado,8,Pueblo County,101,0
Colorado,8,Rio Blanco County,103,0
Colorado,8,Rio Grande County,105,0
Colorado,8,Routt County,107,0
Colorado,8,Saguache County,109,0
Colorado,8,San Juan County,111,0
Colorado,8,San Miguel County,113,0
Colorado,8,Sedgwick County,115,0
Colorado,8,Summit County,117,0
Colorado,8,Teller County,119,0
Colorado,8,Washington County,121,0
Colorado,8,Weld County,123,0
Colorado,8,Yuma County,125,0
Connecticut,9,Fairfield County,1,0
Connecticut,9,Hartford County,3,0
Connecticut,9,Litchfield County,5,0
Connecticut,9,Middlesex County,7,0
Connecticut,9,New Haven County,9,0
Connecticut,9,New London County,11,0
Connecticut,9,Tolland County,13,0
Connecticut,9,Windham County,15,0
Delaware,10,Kent County,1,0
Delaware,10,New Castle County,3,0
Delaware,10,Sussex County,5,0
Florida,12,Alachua County,1,0
Florida,12,Baker County,3,0
Florida,12,Bay County,5,0
Florida,12,Bradford County,7,0
Florida,12,Brevard County,9,0
Florida,12,Broward County,11,0
Florida,12,Calhoun County,13,0
Florida,12,Charlotte County,15,0
Florida,12,Citrus County,17,0
Florida,12,Clay County,19,0
Florida,12,Collier County,21,0
Florida,12,Columbia County,23,0
Florida,12,Desoto County,27,0
Florida,12,Dixie County,29,0
Florida,12,Duval County,31,0
Florida,12,Escambia County,33,0
Florida,12,Flagler County,35,0
Florida,12,Franklin County,37,0
Florida,12,Gadsden County,39,0
Florida,12,Gilchrist County,41,0
Florida,12,Glades County,43,0
Florida,12,Gulf County,45,0
Florida,12,Hamilton County,47,0
Florida,12,Hardee County,49,0
Florida,12,Hendry County,51,0
Florida,12,Hernando County,53,0
Florida,12,Highlands County,55,0
Florida,12,Hillsborough County,57,0
Florida,12,Holmes County,59,0
Florida,12,Indian River County,61,0
Florida,12,Jackson County,63,0
Florida,12,Jefferson County,65,0
Florida,12,Lafayette County,67,0
Florida,12,Lake County,69,0
Florida,12,Lee County,71,0
Florida,12,Leon County,73,0
Florida,12,Levy County,75,0
Florida,12,Liberty County,77,0
Florida,12,Madison County,79,0
Florida,12,Manatee County,81,0
Florida,12,Marion County,83,0
Florida,12,Martin County,85,0
Florida,12,Miami-Dade County,86,0
Florida,12,Monroe County,87,0
Florida,12,Nassau County,89,0
Florida,12,Okaloosa County,91,0
Florida,12,Okeechobee County,93,0
Florida,12,Orange County,95,0
Florida,12,Osceola County,97,0
Florida,12,Palm Beach County,99,0
Florida,12,Pasco County,101,0
Florida,12,Pinellas County,103,0
Florida,12,Polk County,105,0
Florida,12,Putnam County,107,0
Florida,12,St. Johns County,109,0
Florida,12,St. Lucie County,111,0
Florida,12,Santa Rosa County,113,0
Florida,12,Sarasota County,115,0
Florida,12,Seminole County,117,0
Florida,12,Sumter County,119,0
Florida,12,Suwannee County,121,0
Florida,12,Taylor County,123,0
Florida,12,Union County,125,0
Florida,12,Volusia County,127,0
Florida,12,Wakulla County,129,0
Florida,12,Walton County,131,0
Florida,12,Washington County,133,0
Georgia,13,Appling County,1,0
Georgia,13,Atkinson County,3,0
Georgia,13,Bacon County,5,0
Georgia,13,Baker County,7,0
Georgia,13,Baldwin County,9,0
Georgia,13,Banks County,11,0
Georgia,13,Barrow County,13,0
Georgia,13,Bartow County,15,0
Georgia,13,Ben Hill County,17,0
Georgia,13,Berrien County,19,0
Georgia,13,Bibb County,21,0
Georgia,13,Bleckley County,23,0
Georgia,13,Brantley County,25,0
Georgia,13,Brooks County,27,0
Georgia,13,Bryan County,29,0
Georgia,13,Bulloch County,31,0
Georgia,13,Burke County,33,0
Georgia,13,Butts County,35,0
Georgia,13,Calhoun County,37,0
Georgia,13,Camden County,39,0
Georgia,13,Candler County,43,0
Georgia,13,Carroll County,45,0
Georgia,13,Catoosa County,47,0
Georgia,13,Charlton County,49,0
Georgia,13,Chatham County,51,0
Georgia,13,Chattahoochee County,53,0
Georgia,13,Chattooga County,55,0
Georgia,13,Cherokee County,57,0
Georgia,13,Clarke County,59,0
Georgia,13,Clay County,61,0
Georgia,13,Clayton County,63,0
Georgia,13,Clinch County,65,0
Georgia,13,Cobb County,67,0
Georgia,13,Coffee County,69,0
Georgia,13,Colquitt County,71,0
Georgia,13,Columbia County,73,0
Georgia,13,Cook County,75,0
Georgia,13,Coweta County,77,0
Georgia,13,Crawford County,79,0
Georgia,13,Crisp County,81,0
Georgia,13,Dade County,83,0
Georgia,13,Dawson County,85,0
Georgia,13,Decatur County,87,0
Georgia,13,Dekalb County,89,0
Georgia,13,Dodge County,91,0
Georgia,13,Dooly County,93,0
Georgia,13,Dougherty County,95,0
Georgia,13,Douglas County,97,0
Georgia,13,Early County,99,0
Georgia,13,Echols County,101,0
Georgia,13,Effingham County,103,0
Georgia,13,Elbert County,105,0
Georgia,13,Emanuel County,107,0
Georgia,13,Evans County,109,0
Georgia,13,Fannin County,111,0
Georgia,13,Fayette County,113,0
Georgia,13,Floyd County,115,0
Georgia,13,Forsyth County,117,0
Georgia,13,Franklin County,119,0
Georgia,13,Fulton County,121,0
Georgia,13,Gilmer County,123,0
Georgia,13,Glascock County,125,0
Georgia,13,Glynn County,127,0
Georgia,13,Gordon County,129,0
Georgia,13,Grady County,131,0
Georgia,13,Greene County,133,0
Georgia,13,Gwinnett County,135,0
Georgia,13,Habersham County,137,0
Georgia,13,Hall County,139,0
Georgia,13,Hancock County,141,0
Georgia,13,Haralson County,143,0
Georgia,13,Harris County,145,0
Georgia,13,Hart County,147,0
Georgia,13,Heard County,149,0
Georgia,13,Henry County,151,0
Georgia,13,Houston County,153,0
Georgia,13,Irwin County,155,0
Georgia,13,Jackson County,157,0
Georgia,13,Jasper County,159,0
Georgia,13,Jeff Davis County,161,0
Georgia,13,Jefferson County,163,0
Georgia,13,Jenkins County,165,0
Georgia,13,Johnson County,167,0
Georgia,13,Jones County,169,0
Georgia,13,Lamar County,171,0
Georgia,13,Lanier County,173,0
Georgia,13,Laurens County,175,0
Georgia,13,Lee County,177,0
Georgia,13,Liberty County,179,0
Georgia,13,Lincoln County,181,0
Georgia,13,Long County,183,0
Georgia,13,Lowndes County,185,0
Georgia,13,Lumpkin County,187,0
Georgia,13,Mcduffie County,189,0
Georgia,13,Mcintosh County,191,0
Georgia,13,Macon County,193,0
Georgia,13,Madison County,195,0
Georgia,13,Marion County,197,0
Georgia,13,Meriwether County,199,0
Georgia,13,Miller County,201,0
Georgia,13,Mitchell County,205,0
Georgia,13,Monroe County,207,0
Georgia,13,Montgomery County,209,0
Georgia,13,Morgan County,211,0
Georgia,13,Murray County,213,0
Georgia,13,Muscogee County,215,0
Georgia,13,Newton County,217,0
Georgia,13,Oconee County,219,0
Georgia,13,Oglethorpe County,221,0
Georgia,13,Paulding County,223,0
Georgia,13,Peach County,225,0
Georgia,13,Pickens County,227,0
Georgia,13,Pierce County,229,0
Georgia,13,Pike County,231,0
Georgia,13,Polk County,233,0
Georgia,13,Pulaski County,235,0
Georgia,13,Putnam County,237,0
Georgia,13,Quitman County,239,0
Georgia,13,Rabun County,241,0
Georgia,13,Randolph County,243,0
Georgia,13,Richmond County,245,0
Georgia,13,Rockdale County,247,0
Georgia,13,Schley County,249,0
Georgia,13,Screven County,251,0
Georgia,13,Seminole County,253,0
Georgia,13,Spalding County,255,0
Georgia,13,Stephens County,257,0
Georgia,13,Stewart County,259,0
Georgia,13,Sumter County,261,0
Georgia,13,Talbot County,263,0
Georgia,13,Taliaferro County,265,0
Georgia,13,Tattnall County,267,0
Georgia,13,Taylor County,269,0
Georgia,13,Telfair County,271,0
Georgia,13,Terrell County,273,0
Georgia,13,Thomas County,275,0
Georgia,13,Tift County,277,0
Georgia,13,Toombs County,279,0
Georgia,13,Towns County,281,0
Georgia,13,Treutlen County,283,0
Georgia,13,Troup County,285,0
Georgia,13,Turner County,287,0
Georgia,13,Twiggs County,289,0
Georgia,13,Union County,291,0
Georgia,13,Upson County,293,0
Georgia,13,Walker County,295,0
Georgia,13,Walton County,297,0
Georgia,13,Ware County,299,0
Georgia,13,Warren County,301,0
Georgia,13,Washington County,303,0
Georgia,13,Wayne County,305,0
Georgia,13,Webster County,307,0
Georgia,13,Wheeler County,309,0
Georgia,13,White County,311,0
Georgia,13,Whitfield County,313,0
Georgia,13,Wilcox County,315,0
Georgia,13,Wilkes County,317,0
Georgia,13,Wilkinson County,319,0
Georgia,13,Worth County,321,0
Hawaii,15,Hawaii County,1,0
Hawaii,15,Honolulu County,3,0
Hawaii,15,Kalawao County,5,0
Hawaii,15,Kauai County,7,0
Hawaii,15,Maui County,9,0
Idaho,16,Ada County,1,0
Idaho,16,Adams County,3,0
Idaho,16,Bannock County,5,0
Idaho,16,Bear Lake County,7,0
Idaho,16,Benewah County,9,0
Idaho,16,Bingham County,11,0
Idaho,16,Blaine County,13,0
Idaho,16,Boise County,15,0
Idaho,16,Bonner County,17,0
Idaho,16,Bonneville County,19,0
Idaho,16,Boundary County,21,0
Idaho,16,Butte County,23,0
Idaho,16,Camas County,25,0
Idaho,16,Canyon County,27,0
Idaho,16,Caribou County,29,0
Idaho,16,Cassia County,31,0
Idaho,16,Clark County,33,0
Idaho,16,Clearwater County,35,0
Idaho,16,Custer County,37,0
Idaho,16,Elmore County,39,0
Idaho,16,Franklin County,41,0
Idaho,16,Fremont County,43,0
Idaho,16,Gem County,45,0
Idaho,16,Gooding County,47,0
Idaho,16,Idaho County,49,0
Idaho,16,Jefferson County,51,0
Idaho,16,Jerome County,53,0
Idaho,16,Kootenai County,55,0
Idaho,16,Latah County,57,0
Idaho,16,Lemhi County,59,0
Idaho,16,Lewis County,61,0
Idaho,16,Lincoln County,63,0
Idaho,16,Madison County,65,0
Idaho,16,Minidoka County,67,0
Idaho,16,Nez Perce County,69,0
Idaho,16,Oneida County,71,0
Idaho,16,Owyhee County,73,0
Idaho,16,Payette County,75,0
Idaho,16,Power County,77,0
Idaho,16,Shoshone County,79,0
Idaho,16,Teton County,81,0
Idaho,16,Twin Falls County,83,0
Idaho,16,Valley County,85,0
Idaho,16,Washington County,87,0
Illinois,17,Adams County,1,0
Illinois,17,Alexander County,3,0
Illinois,17,Bond County,5,0
Illinois,17,Boone County,7,0
Illinois,17,Brown County,9,0
Illinois,17,Bureau County,11,0
Illinois,17,Calhoun County,13,0
Illinois,17,Carroll County,15,0
Illinois,17,Cass County,17,0
Illinois,17,Champaign County,19,0
Illinois,17,Christian County,21,0
Illinois,17,Clark County,23,0
Illinois,17,Clay County,25,0
Illinois,17,Clinton County,27,0
Illinois,17,Coles County,29,0
Illinois,17,Cook County,31,0
Illinois,17,Crawford County,33,0
Illinois,17,Cumberland County,35,0
Illinois,17,Dekalb County,37,0
Illinois,17,De Witt County,39,0
Illinois,17,Douglas County,41,0
Illinois,17,Dupage County,43,0
Illinois,17,Edgar County,45,0
Illinois,17,Edwards County,47,0
Illinois,17,Effingham County,49,0
Illinois,17,Fayette County,51,0
Illinois,17,Ford County,53,0
Illinois,17,Franklin County,55,0
Illinois,17,Fulton County,57,0
Illinois,17,Gallatin County,59,0
Illinois,17,Greene County,61,0
Illinois,17,Grundy County,63,0
Illinois,17,Hamilton County,65,0
Illinois,17,Hancock County,67,0
Illinois,17,Hardin County,69,0
Illinois,17,Henderson County,71,0
Illinois,17,Henry County,73,0
Illinois,17,Iroquois County,75,0
Illinois,17,Jackson County,77,0
Illinois,17,Jasper County,79,0
Illinois,17,Jefferson County,81,0
Illinois,17,Jersey County,83,0
Illinois,17,Jo Daviess County,85,0
Illinois,17,Johnson County,87,0
Illinois,17,Kane County,89,0
Illinois,17,Kankakee County,91,0
Illinois,17,Kendall County,93,0
Illinois,17,Knox County,95,0
Illinois,17,Lake County,97,0
Illinois,17,Lasalle County,99,0
Illinois,17,Lawrence County,101,0
Illinois,17,Lee County,103,0
Illinois,17,Livingston County,105,0
Illinois,17,Logan County,107,0
Illinois,17,Mcdonough County,109,0
Illinois,17,Mchenry County,111,0
Illinois,17,Mclean County,113,0
Illinois,17,Macon County,115,0
Illinois,17,Macoupin County,117,0
Illinois,17,Madison County,119,0
Illinois,17,Marion County,121,0
Illinois,17,Marshall County,123,0
Illinois,17,Mason County,125,0
Illinois,17,Massac County,127,0
Illinois,17,Menard County,129,0
Illinois,17,Mercer County,131,0
Illinois,17,Monroe County,133,0
Illinois,17,Montgomery County,135,0
Illinois,17,Morgan County,137,0
Illinois,17,Moultrie County,139,0
Illinois,17,Ogle County,141,0
Illinois,17,Peoria County,143,0
Illinois,17,Perry County,145,0
Illinois,17,Piatt County,147,0
Illinois,17,Pike County,149,0
Illinois,17,Pope County,151,0
Illinois,17,Pulaski County,153,0
Illinois,17,Putnam County,155,0
Illinois,17,Randolph County,157,0
Illinois,17,Richland County,159,0
Illinois,17,Rock Island County,161,0
Illinois,17,St. Clair County,163,0
Illinois,17,Saline County,165,0
Illinois,17,Sangamon County,167,0
Illinois,17,Schuyler County,169,0
Illinois,17,Scott County,171,0
Illinois,17,Shelby County,173,0
Illinois,17,Stark County,175,0
Illinois,17,Stephenson County,177,0
Illinois,17,Tazewell County,179,0
Illinois,17,Union County,181,0
Illinois,17,Vermilion County,183,0
Illinois,17,Wabash County,185,0
Illinois,17,Warren County,187,0
Illinois,17,Washington County,189,0
Illinois,17,Wayne County,191,0
Illinois,17,White County,193,0
Illinois,17,Whiteside County,195,0
Illinois,17,Will County,197,0
Illinois,17,Williamson County,199,0
Illinois,17,Winnebago County,201,0
Illinois,17,Woodford County,203,0
Indiana,18,Adams County,1,0
Indiana,18,Allen County,3,0
Indiana,18,Bartholomew County,5,0
Indiana,18,Benton County,7,0
Indiana,18,Blackford County,9,0
Indiana,18,Boone County,11,0
Indiana,18,Brown County,13,0
Indiana,18,Carroll County,15,0
Indiana,18,Cass County,17,0
Indiana,18,Clark County,19,0
Indiana,18,Clay County,21,0
Indiana,18,Clinton County,23,0
Indiana,18,Crawford County,25,0
Indiana,18,Daviess County,27,0
Indiana,18,Dearborn County,29,0
Indiana,18,Decatur County,31,0
Indiana,18,Dekalb County,33,0
Indiana,18,Delaware County,35,0
Indiana,18,Dubois County,37,0
Indiana,18,Elkhart County,39,0
Indiana,18,Fayette County,41,0
Indiana,18,Floyd County,43,0
Indiana,18,Fountain County,45,0
Indiana,18,Franklin County,47,0
Indiana,18,Fulton County,49,0
Indiana,18,Gibson County,51,0
Indiana,18,Grant County,53,0
Indiana,18,Greene County,55,0
Indiana,18,Hamilton County,57,0
Indiana,18,Hancock County,59,0
Indiana,18,Harrison County,61,0
Indiana,18,Hendricks County,63,0
Indiana,18,Henry County,65,0
Indiana,18,Howard County,67,0
Indiana,18,Huntington County,69,0
Indiana,18,Jackson County,71,0
Indiana,18,Jasper County,73,0
Indiana,18,Jay County,75,0
Indiana,18,Jefferson County,77,0
Indiana,18,Jennings County,79,0
Indiana,18,Johnson County,81,0
Indiana,18,Knox County,83,0
Indiana,18,Kosciusko County,85,0
Indiana,18,Lagrange County,87,0
Indiana,18,Lake County,89,0
Indiana,18,Laporte County,91,0
Indiana,18,Lawrence County,93,0
Indiana,18,Madison County,95,0
Indiana,18,Marion County,97,0
Indiana,18,Marshall County,99,0
Indiana,18,Martin County,101,0
Indiana,18,Miami County,103,0
Indiana,18,Monroe County,105,0
Indiana,18,Montgomery County,107,0
Indiana,18,Morgan County,109,0
Indiana,18,Newton County,111,0
Indiana,18,Noble County,113,0
Indiana,18,Ohio County,115,0
Indiana,18,Orange County,117,0
Indiana,18,Owen County,119,0
Indiana,18,Parke County,121,0
Indiana,18,Perry County,123,0
Indiana,18,Pike County,125,0
Indiana,18,Porter County,127,0
Indiana,18,Posey County,129,0
Indiana,18,Pulaski County,131,0
Indiana,18,Putnam County,133,0
Indiana,18,Randolph County,135,0
Indiana,18,Ripley County,137,0
Indiana,18,Rush County,139,0
Indiana,18,St. Joseph County,141,0
Indiana,18,Scott County,143,0
Indiana,18,Shelby County,145,0
Indiana,18,Spencer County,147,0
Indiana,18,Starke County,149,0
Indiana,18,Steuben County,151,0
Indiana,18,Sullivan County,153,0
Indiana,18,Switzerland County,155,0
Indiana,18,Tippecanoe County,157,0
Indiana,18,Tipton County,159,0
Indiana,18,Union County,161,0
Indiana,18,Vanderburgh County,163,0
Indiana,18,Vermillion County,165,0
Indiana,18,Vigo County,167,0
Indiana,18,Wabash County,169,0
Indiana,18,Warren County,171,0
Indiana,18,Warrick County,173,0
Indiana,18,Washington County,175,0
Indiana,18,Wayne County,177,0
Indiana,18,Wells County,179,0
Indiana,18,White County,181,0
Indiana,18,Whitley County,183,0
Iowa,19,Adair County,1,0
Iowa,19,Adams County,3,0
Iowa,19,Allamakee County,5,0
Iowa,19,Appanoose County,7,0
Iowa,19,Audubon County,9,0
Iowa,19,Benton County,11,0
Iowa,19,Black Hawk County,13,0
Iowa,19,Boone County,15,0
Iowa,19,Bremer County,17,0
Iowa,19,Buchanan County,19,0
Iowa,19,Buena Vista County,21,0
Iowa,19,Butler County,23,0
Iowa,19,Calhoun County,25,0
Iowa,19,Carroll County,27,0
Iowa,19,Cass County,29,0
Iowa,19,Cedar County,31,0
Iowa,19,Cerro Gordo County,33,0
Iowa,19,Cherokee County,35,0
Iowa,19,Chickasaw County,37,0
Iowa,19,Clarke County,39,0
Iowa,19,Clay County,41,0
Iowa,19,Clayton County,43,0
Iowa,19,Clinton County,45,0
Iowa,19,Crawford County,47,0
Iowa,19,Dallas County,49,0
Iowa,19,Davis County,51,0
Iowa,19,Decatur County,53,0
Iowa,19,Delaware County,55,0
Iowa,19,Des Moines County,57,0
Iowa,19,Dickinson County,59,0
Iowa,19,Dubuque County,61,0
